Al,Si,Fe,Cu,Mn,Mg,Cr,Ni,Zn,Ga,V,Ti,UTS (MPa),YS (MPa),Fatigue Strength (MPa),Shear Strength (MPa),Y (GPa),G (GPa),Density (g/cc),Cp (J/kg-K),TC (W/m-K),TE Coeff,Thermal Diffusivity ,EC Volume (% IACS),EC Weight (% IACS)
97.65395336448968,1.3468664285980503,0.7077415799961437,0.17815552368289836,0.0,0.0,0.0,0.00031854215045960625,0.04394268815954295,0.0,0.028353385338300632,0.04066848758493239,179.15129696378602,129.75233,58.85674512891544,105.49172694115815,69.14231997238785,26.06165145853508,2.6967514219453697,898.5805533643977,196.34229,22.990361595091617,82.55838,50.80316178266178,161.56615
97.48152645610023,0.7491583340762699,0.491545114963536,0.2029959647481421,0.7553407405439946,0.1764827574754582,0.0,0.0,0.14295063209238582,0.0,0.0,0.0,183.6743872066473,138.65942,67.57389212131886,109.45613335355722,69.66236416025548,26.00759077147154,2.708158397970732,899.4346711411935,176.2632,23.032562597681864,68.44673,43.30666666666666,143.77234
97.1582954077802,1.1915390895394813,0.5462975750932827,0.21542214699251191,0.5644891698772211,0.14031380310176841,0.00044658696645511506,0.0,0.18064804436848145,0.0003575392876629135,0.0,0.0021906369929380813,184.42196817389703,127.00515,61.87909951150211,103.98028996258866,69.41518986467294,26.000147768902334,2.698511910792212,900.0910950467437,171.0082,23.06915946759398,69.14248,43.05,145.23279
97.1112580237337,1.2250956078458441,0.35262518774921514,0.13932222145437836,0.7430968714327597,0.19706640871783587,0.0,0.0017810981010542646,0.2240914970042235,0.0,0.0,0.0056630839610110435,196.78413358605619,130.61264,63.33269311673034,102.09706583824251,69.87582982027281,25.996715695268215,2.696275655807996,899.983758521429,165.43211,23.010737651871604,68.56361,42.53,141.13301
97.24576688254695,1.7058268196311894,0.6916183496814952,0.2041128882657501,0.0,0.0,0.00027865099249045513,0.0,0.09592269488518969,0.0,0.03049214523876117,0.025981568758165527,184.1376598427372,115.60247,58.85674512891544,98.16449473121087,69.81711687149708,26.10190341145624,2.7939488826309753,897.439761705798,181.7794,23.051002704141847,77.01994,49.296809523809515,158.76128
97.96831044086723,0.8466906962767137,0.9514692939975388,0.005374973718254762,0.014135149822127449,0.030961078349489173,8.852228583148142e-06,0.0008616311658012886,0.0736224764006162,0.0,0.05334752874037111,0.0552178784332641,174.89706805141597,138.66512,59.78612704353332,98.92677694400939,68.68048230856223,25.997951560761148,2.7008115770589587,895.715998827821,210.61754,22.967013932038512,85.662766,55.24777289377289,188.35133
97.5280759866213,1.8600401755498965,0.2718194171560345,0.20268066164273008,0.0,0.0,0.00029215985764484095,0.0,0.10540638413659917,0.0,0.006865803418262499,0.0248194116175385,183.11757480754537,120.54358,59.88468152589321,96.12130714804964,69.61473250724369,26.101235882876384,2.794267133772038,897.6906733754124,184.62273,23.04956392095433,76.23255,49.64041666666666,161.99832
97.83070454875998,1.4584175807747313,0.18447535341901472,0.1940246980365869,0.21304930796274832,0.029944218057817988,0.0006956332666497787,0.0008991354302711655,0.08769029709671741,9.922719548550334e-05,0.0,0.0,174.64748147223142,130.55922,61.52894687870821,107.4538962253626,70.12767436797743,26.19739371500265,2.793885504954656,896.9382767892597,183.96292,23.008733155977065,75.16018,45.66849999999999,149.71
97.02102567932695,0.4054795177064041,1.1493477589917678,0.07902370896570407,0.8333339798142652,0.2464055748957437,0.0,0.0008094417256510419,0.2104699795343082,0.00022318823770615828,0.030458884882059903,0.023422285919420277,184.48560061466281,125.030846,67.70903417312108,92.42818165682375,69.22297460871386,25.995037864952963,2.799678656705166,900.1595863745863,173.16766,23.160810574863277,69.39104,43.90623626373626,145.51912
97.4364990326267,0.3184895929145051,0.8656625523101061,0.02130777524768164,0.842208091904772,0.2955970848229903,0.0,0.0,0.1749434126699947,0.0,0.018270799581558975,0.027021657921687616,176.88920173363792,114.28621,60.4551170781748,88.19587357194581,69.32646538061277,26.001365063162545,2.7998057410150436,899.9962014844879,182.81621,23.3920201666817,69.40319,45.18142857142857,147.8704
98.4029037246442,1.0762344213327966,0.37277170072308596,0.0,0.012659771412556933,0.006265268831332616,0.0,0.0003120860112641721,0.05079056620225052,0.0009577599356335221,0.029170794065610496,0.04793390684127286,135.338146485552,100.64898,51.96451081348815,77.28441057043678,68.93954482499413,26.005113176727058,2.6993365968510905,899.9400208776682,211.58464,23.067432210741092,86.61512,55.328844322344324,186.38078
97.06322472716104,1.378897043933989,0.2461404981582793,0.28762581450109065,0.6924531348094782,0.1416892258806771,6.11531763739318e-05,0.0,0.189895513869206,1.2888509853766773e-05,0.0,0.0,192.1072772492386,142.20036,58.0527656739176,102.09096981827224,69.65622243612536,26.058426260295334,2.731588009519642,899.5376769329175,163.5459,23.000289318051504,66.36596,42.39666666666666,141.51395
97.10876483415946,0.8378666745630086,0.09983044975079042,0.235019736011718,1.2081949846187858,0.29128335822547147,0.0,0.0,0.21903996267077028,0.0,0.0,0.0,203.17742173249292,140.81023,70.14550587719182,97.70242882624483,69.75297145360571,25.983522505572743,2.771122878839784,900.6984876733679,161.80438,23.055414474720898,65.917435,42.62666666666666,142.14357
97.47713763023273,0.7759966286355093,0.5545934801470656,0.17409941095910067,0.7042004693815533,0.16490586004373514,0.0,0.0010225331346614811,0.14768995041446462,0.00035403705117918255,0.0,0.0,182.67165905794704,138.96687,67.7873935912191,106.12229716270677,69.27387009912032,26.00752271793083,2.70730615890403,900.0703909479384,176.25528,23.001099535162666,68.63329,43.346666666666664,144.91553
96.93494472003998,1.5457265774239357,0.5924496408026547,0.3081034920698832,0.39688880915143765,0.041122535104094374,0.0,0.0,0.1798204543013275,0.0009437711066996942,0.0,0.0,184.0425559634438,122.53692,68.78327874941705,106.87863248275023,69.87194752686204,26.00423575476486,2.7318154452787717,899.8543407439847,166.31569,23.026187550788894,67.55612,41.55,139.54486
97.09020339922262,0.9146445897848904,0.7572445018998318,0.1833358089519457,0.6827960697297126,0.17485494046282193,0.0,0.001209402087431797,0.1898866985160132,0.0,0.0014938313295895797,0.004330758015129366,179.46752810891664,136.84097,71.59299940964503,100.61105141504099,69.52323206034642,26.013080083757664,2.6997680226039873,900.061044739937,173.94846,23.03250487305534,69.65677,43.09,145.65344
97.50452198336674,1.1143044442724148,1.0143523440957913,0.07462172965055756,0.04627788821675286,0.02175195660065718,0.0,0.0,0.12434280899850264,0.0,0.049123665550598,0.05070317924796506,184.57567975100528,127.61176,56.23581993285533,100.09814241111285,68.97843616272203,25.993322172631384,2.700020905100452,899.997753823637,202.97011,22.972344059346806,83.05729,50.18814285714285,167.62721
97.05808954247223,0.7563657113484682,0.8051942857329627,0.15778250800152013,0.8007007823304155,0.21381504336818405,0.00018549914493531765,0.0007742103923519209,0.19784592212485258,0.0017401149538164222,0.007506380130242477,0.0,185.99985045584506,141.12407,71.0827948216574,104.08324339831111,69.88448289719129,26.01309313704828,2.7993876164730316,900.0199486426679,167.45927,22.990626262509007,67.973946,42.87,139.24455
97.95153197681995,0.37148316888326294,0.28952489146215,0.0,0.9181672827826025,0.308369065360072,0.0,0.0,0.14351001576148686,0.0,0.0,0.01741359893047167,182.14728723185684,132.77428,60.813351297151314,94.60581844691174,69.21761577453063,26.003694860925027,2.799575836056435,899.9455409641957,175.68399,23.1743234644307,70.066414,45.797428571428576,149.10818
97.12666905951647,0.0,1.4506100276106648,0.0,0.8954256963266652,0.32223335506813666,0.0,0.0007545240837663616,0.12885737685388834,0.0011344164360798336,0.04427894428099826,0.03003659982332314,183.32442226149038,135.7662,60.871255171677376,90.39203688648804,69.31190873090762,25.861225381870767,2.799712843305119,899.3424374076429,173.09108,23.50986427172249,69.325455,44.153928571428565,140.77771
97.49213760892343,0.5562891706392262,0.7208314065654959,0.11088132154266367,0.7365819184911713,0.21326134258414445,0.0,0.0005285039978851982,0.1526157822601022,0.0021060420465826074,0.006570506340943663,0.008196396608332211,175.2724115626151,123.57732,63.577144287052135,98.65754909625467,69.75485456887938,26.013142894082648,2.7088326357589616,899.9947205430508,178.75562,23.01231550772908,68.31144,43.62,152.05179
97.55018877341388,0.9226815998707654,0.5403941791381386,0.1505008311034958,0.549374416290339,0.14027574577930826,0.0,0.0004981453542554234,0.1387752670115345,0.000890559822535479,0.0008249061559585411,0.005595576059804876,177.6775155329134,138.01448,68.65217913237551,106.12229716270677,69.30830815085453,26.000094527890685,2.7075631952497377,900.0830149723874,182.42651,23.024296886715906,70.00653,43.89666666666666,149.45152
97.22415725362065,1.4059262135126602,0.6028459391852894,0.23119555546995155,0.32986978471101086,0.043716660310393556,0.0,5.600073896580086e-05,0.15507491106319435,0.0005415790027054041,0.005784741404943451,0.0008313609802206798,173.55027645960845,126.17659,62.30630874159564,100.07839682682011,69.52459867675549,26.000141123684866,2.7385057340398204,899.5146491682185,171.66965,23.05964120649996,70.27576,42.06,144.34692
97.61873711695206,0.8814708398219249,0.35441694109048366,0.06446996663113813,0.7079218426739012,0.22001262585411996,0.0,0.0,0.15135392587011234,9.6174181988618e-05,0.0,0.0015205669242776558,193.566681504512,133.2092,65.6481632675483,102.15279638580186,68.99080924502022,26.00905339252792,2.7085194210458714,900.0358046771424,174.73518,23.011357955611356,67.94528,44.16666666666666,146.62561
96.69326236421266,0.6603402177018797,0.649430784106925,0.26241223276914816,1.1994344622229118,0.29674351687714784,0.0,0.0008213826813763806,0.23748033194716747,7.470748077161852e-05,0.0,0.0,198.47977831622572,147.8599,70.97716650952236,99.44415005901477,69.96291083009376,25.99996082361106,2.771513826239129,899.6660898869436,162.53947,23.144973853334047,65.40844,42.58,138.3644
97.3687063459119,1.4916943046709308,0.7144308964528989,0.2012396101499655,0.057342802973206715,0.0,0.0,0.000370377301679637,0.12449171996778238,0.0,0.022082760121863942,0.019641182449772802,178.1321453388372,118.62539,57.761074081710355,99.68400051843275,69.91668487310123,26.05281781745282,2.7920489275581457,898.0055028579434,193.25821,23.076084736125033,81.22615,49.647865079365076,162.9798
97.54044100524798,0.41844159277455567,1.3257693703959212,0.024168389977555,0.3449213838530825,0.11226070263436799,0.0,0.0009167059551446386,0.12403755889558635,0.0,0.05884104510103154,0.0502022451647706,171.9506697364533,117.40169,61.48758251030795,91.07650264338037,68.57673158256695,25.99467968891518,2.7073774867823173,900.0283858834329,196.47787,23.026457954709485,77.232704,47.07350899100899,163.29843
97.90545670736175,1.1769478121512946,0.6748121281511087,0.0,0.015659940467039637,0.033107622808115425,0.0,0.0,0.09695161561121013,9.670981485031092e-05,0.044367278370595724,0.05260018526403704,160.12647899179711,130.79579,55.19935224688876,96.78476974389127,68.92260970768558,25.99882083538329,2.6997241201478057,899.985412086609,212.04584,23.023990443531204,86.09382,54.972606227106226,186.78322
98.01490145337351,0.9582701579978256,0.2926024553909169,0.008667065645240946,0.4376664836037359,0.16423922182594397,0.0,0.0,0.09833778114726578,0.0,0.010273679181601837,0.015041701833962497,168.31629453365397,127.55426,61.81594287822925,99.6926347704832,69.03690790071843,26.00114226463893,2.701292947410261,899.666202494625,183.40126,22.99238401122715,72.20813,49.40719047619047,159.07175
97.27181907836751,0.124515587339857,1.2904438515867596,0.01831958013872858,0.7924862162242745,0.2491528539364216,0.000998356447191582,0.0,0.17562981627428478,0.0,0.04377484536923563,0.032859814315734884,183.57373607926584,116.21499,61.088267495945665,87.0051785114248,69.18708863205734,26.00454373993894,2.799673731281616,897.2769147236367,181.78401,23.428503310641254,70.94426,44.16392857142857,141.47441
